IE_XML_ID;IE_NAME;IP_PROP130;IP_PROP131;
20261;Жизнь для меня - Христос. Митрополит Антоний Сурожский;5154;0;
20260;Любовь никогда не перестает;7237;4;
20259;Листи з Екватора;4814;12;
20258;Хто повірить Елеонорі Чайці?;7243;4;
20257;"Набор карточек ""Сады молитв""";;2;
20256;"Набор карточек ""Золотые стихи Библии для женщин""";;9;
20255;Что нас ждет на небесах?;5576;4;
20254;Беседы о Евангелии от Матфея. Том 1;674;7;
20253;Бархатная тень;717;6;
20252;Крик душі;4357;1;
20251;Українсько-новогрецький словник;670;1;
20250;"Об""явлення Івана Богослова. Пісня майбутнього труімфу";669;1;
20249;Культура Древней Греции для детей 10-13 лет;4800;0;
20248;Увлекательная логопедия. Учимся говорить фразами;2660;1;
20247;Особый ребенок №8. Исследование и опыт помощи;;0;
20246;Введение в альтернативную и дополнительную коммуникацию;663;0;
20245;Навчаємося з радістю: компенсаторне навчання дітей з порушеннями розумового розвитку;863;2;
20244;Подготовка к крещению;5801;3;
20242;День пути;9066;19;
20241;Тiло людини;1722;16;
20241;Тiло людини;9121;16;
20240;Досягаючи музичних вершин;;3;
20239;Жизнь в силе Святого Духа;6902;3;
20238;Зростаємо разом у Христі;4706;3;
20237;Как получать пользу от Писания;844;5;
20236;Окрыленные верой;4525;3;
20235;Отвечая атеистам;5371;3;
20234;Песни разбитых сердец;961;3;
20233;Поэзия веры;;3;
20232;Разрывающий оковы;4621;2;
20231;Библия в пересказе для детей. С раскрасками;1223;12;
20230;Библия за 90 дней;3491;11;
20229;Поверни мене в Японію;4426;5;
20227;"Магнит смола ""Когда Бог на первом месте"" (Світло Пікчерз)";;2;
20226;"Магнит смола ""Надеющиеся на Господа обновятся в силе"" (Світло Пікчерз)";;2;
20225;"Магнит смола ""Теперь вы - свет в Господе"" (Світло Пікчерз)";;3;
20224;"Магнит смола ""Господь сам будет с тобою"" (Світло Пікчерз)";;2;
20223;"Магнит смола ""Радуйтесь тому, что ваши имена записаны на небесах"" (Світло Пікчерз)";;1;
20222;"Магнит смола ""Много замыслов в сердце человека"" (Світло Пікчерз)";;2;
20221;Против попутного ветра (e-book);6169;5;
20220;Против попутного ветра;6169;131;
20218;Почему? Вопрос, который остается всегда;6553;30;
20217;"Блокнот фигурный ""I Love Jesus""";;3;
20216;"Блокнот фигурный ""А як маєм поживу та одяг""";;2;
20215;"Блокнот фигурный ""Бог є любов""";;2;
20214;"Блокнот фигурный ""Будьте послідовниками""";;1;
20213;"Блокнот фигурный ""Господь з Тобою""";;2;
20212;"Блокнот фигурный ""Скуштуйте й побачте""";;2;
20211;"Блокнот фигурный ""Любов нехай буде нелицемірна""";;2;
20210;"Блокнот фигурный ""Просіть, і буде вам дано""";;1;
20209;"Блокнот фигурный ""Щедрий і милосердний Господь""";;1;
20208;"Блокнот фигурный ""Виконане бажання приємне душі""";;2;
20207;"Блокнот фигурный ""Ісус дарує радість""";;2;
20206;"Блокнот фигурный ""Шукайте Господа""";;2;
20205;"Блокнот фигурный ""Завжди радійте""";;0;
20204;"Блокнот фигурный ""Смерть та життя у владі язика""";;2;
20203;"Блокнот фигурный ""Мудрість над перли дорожча""";;0;
20202;"Блокнот фигурный ""Любіть один одного""";;2;
20201;"Блокнот фигурный ""Пильнуй читання""";;0;
20200;"Блокнот фигурный ""Ісус любить тебе""";;2;
20199;"Блокнот фигурный ""Лагідна відповідь""";;3;
20198;"Блокнот фигурный ""Своє серце зверни до навчання""";;1;
20197;Сто Біблійних оповідей;;1;
20196;Коментарі на Книгу пророка Ісаї 1-39 глави;4415;1;
20195;Семь поражений сатаны;4351;3;
20194;Апостольское посвящение;837;4;
20193;10 основных ошибок, совершаемых пасторами;1901;3;
20192;Кровь Иисуса. Сила крови;1901;6;
20191;Дороговкази, радіо та дощ;4488;2;
20190;Духовні поради отця Піо;3997;1;
20189;Путівник для батька;7228;2;
20188;Роздуми до літургійних читань Апостола;3658;1;
20187;Роздуми до літургійних читань Євангелія;3658;1;
20186;У любові немає страху;7228;1;
20185;150 думок митрополита Андрея Шептицького;3751;2;
20184;Природний метод лікування;3664;1;
20183;Катехитичне служіння у світлі вчення слуги Божого Митрополита Андрея Шептицького;3663;1;
20182;Софія з Фредрів Шептицька;2531;0;
20181;Біле Різдво;483;1;
20180;Здорове харчування для дітей;584;1;
20179;Ісус: віра і факти;556;1;
20178;Благословенні душі, що вміють випромінювати;487;1;
20177;Ведь где-то есть простая жизнь;3739;23;
20176;"Журнал ""Веруем""";;0;
20175;"Журнал ""angel"" №4/2015";;2;
20174;"Журнал ""angel"" №3/2015";;2;
20173;Час second-hand;1798;3;
20172;Перелистывая жизнь;1645;3;
20171;Искренне ваш...;3497;2;
20170;Из лукошка бабушки Авдотьи;667;3;
20169;"Календарь-2016 (Пятилетова, укр, маленький, перекидной) ""Ісус Христос - єдина надія""";;21;
20168;"Календарь-2016 (Пятилетова, ""Життя несподіване"", средний, перекидной)";;27;
20167;"Календарь-2016 (Пятилетова, ""Жизнь нежданная"", средний, перекидной)";;26;
20166;"Календарь-2016 (Пятилетова, укр, женский, перекидной) ""Слово моїм донькам""";;28;
20165;"Календарь-2016 (Пятилетова, женский, перекидной) ""Слово моим дочерям""";;18;
20164;"Календарь-2016 (Пятилетова, укр, детский, перекидной) ""Хранителі Землі""";;13;
20163;"Календарь-2016 (Пятилетова, детский, перекидной) ""Хранители Земли""";;12;
20162;"Календарь-2016 (Пятилетова, укр, настольный) ""Господь - захист мій""";;14;
20161;"Календарь-2016 (Пятилетова, настольный) ""Господь - защита моя""";;9;
20160;Есть нечто прекраснее;1310;1;
20159;Они тоже были молодые;1310;1;
20158;Новая жизнь для зависимых людей;2508;3;
20157;Жизнь в молитве;1763;13;
20156;Евангелие в центре твоей жизни (руководство для участника);1003;3;
20155;Будущность и надежда;4344;4;
20155;Будущность и надежда;1647;4;
20154;Апостол Павел и верность Бога. Том 1;4613;6;
20153;Характер Господнего работника;1435;1;
20152;Новый Завет. Восстановительный перевод;;1;
20151;Жизнь жертвенника и шатра;1435;1;
20150;Два принципа жития;1435;1;
20149;Великая Божья история (учебное пособие);;11;
20148;DVD Великая Божья история;;2;
20147;Мишеняткова арифметика;4488;17;
20146;"Настольный календарь ""Цветы"" 2016";;9;
20145;"Настольный календарь ""Природа"" 2016";;19;
20144;"Календарь на 2016 год перекидной ""Цветы"" (укр, малый)";;27;
20143;"Календарь на 2016 год перекидной ""Цветы"" (рус, малый)";;29;
20142;"Календарь на 2016 год перекидной ""Природа"" (укр, малый)";;30;
20141;"Календарь на 2016 год перекидной ""Природа"" (рус, малый)";;29;
20140;"Календарь на 2016 год перекидной ""Цветы"" (укр, большой)";;10;
20139;"Календарь на 2016 год перекидной ""Цветы"" (рус, большой)";;13;
20138;"Календарь на 2016 год перекидной ""Природа"" (укр, большой)";;15;
20137;"Календарь на 2016 год перекидной ""Природа"" (рус, большой)";;23;
20136;"Блокнот А6 90 листов (Полосатый кот) ""Итак, идите, научите все народы""";;2;
20135;"Блокнот А6 90 листов (Полосатый кот) ""Не хлебом одним будет жить человек""";;2;
20134;"Блокнот А6 90 листов (Полосатый кот) ""Надейся на Господа всем сердцем твоим""";;2;
20133;"Блокнот А6 90 листов (Полосатый кот) ""This is Love""";;2;
20132;"Блокнот А6 90 листов (Полосатый кот) ""When I am weak He is strong""";;2;
20131;"Блокнот А6 45 листов (Полосатый кот) ""Итак, идите, научите все народы""";;2;
20130;"Блокнот А6 45 листов (Полосатый кот) ""Не хлебом одним будет жить человек""";;2;
20129;"Блокнот А6 45 листов (Полосатый кот) ""Надейся на Господа всем сердцем твоим""";;2;
20128;"Блокнот А6 45 листов (Полосатый кот) ""This is Love""";;2;
20127;"Блокнот А6 45 листов (Полосатый кот) ""When I am weak He is strong""";;2;
20125;Новый Завет. Синодальный перевод;;15;
20124;Атлас Біблійної Історії (6008);;5;
20123;Інтерактивна Біблія для дітей 2 (30361);;4;
20122;Практика духовного керівництва;7228;0;
20121;Нагірна проповідь. Синтез;7228;1;
20120;16 кроків до зрілості;4005;2;
20119;Нові таємниці Ватикану;934;0;
20118;Перемогти несміливість;1137;1;
20117;Полюбити життя та його несподіванки;1137;1;
20116;Батьки і діти;1137;1;
20115;Вірність. Перлини мудрості;4785;2;
20114;Дружба. Перлини мудрості;4785;3;
20113;Подолати соціальну тривогу;2285;2;
20112;Подолати фобію;2240;2;
20111;Як передавати дитині цінності;2239;1;
20110;Порадник малого грішника;;2;
20108;Обійдемося без лелеки;9050;2;
20107;Перш ніж скажеш кохаю...;9049;1;
20106;Відчинене небо;9048;0;
20105;"Магнит пластик ""Бог слышит даже самый слабый голос"" (Світло Пікчерз)";;7;
20104;"Магнит пластик ""Скажи проблемам - как велик Господь"" (Світло Пікчерз)";;4;
20103;"Магнит пластик ""Пусть твоя вера будет больше твоих страхов"" (Світло Пікчерз)";;6;
20102;"Магнит пластик ""Все возможно верующему"" (Світло Пікчерз)";;5;
20101;"Магнит пластик ""Мы спасены в надежде"" (Світло Пікчерз)";;4;
20100;"Магнит пластик ""Бог дарит радость даже в пасмурный день"" (Світло Пікчерз)";;8;
20099;"Магнит пластик ""Теперь пребывают сии три: Вера, Надежда, Любовь"" (Світло Пікчерз)";;5;
20098;"Магнит пластик ""Иисус Христос вчера, и сегодня, и во веки Тот же"" (Світло Пікчерз)";;5;
20097;"Магнит пластик ""Возложи на Господа заботы твои, и Он поддержит тебя"" (Світло Пікчерз)";;5;
20096;"Магнит пластик ""Когда живешь с Богом - чудеса случаются"" (Світло Пікчерз)";;7;
20095;Взять быка за рога;9039;1;
20094;Дух освіти;9038;1;
20093;Данте, поэт желания;6622;3;
20092;100 днів полону або позивний 911;9037;15;
20091;Нічого правдивого й усе можливе;9036;5;
20090;Основи інклюзивної освіти;9035;3;
20089;У пошуках обличчя Божого;9034;3;
20088;Ранні Отці Церкви: Антологія;9033;3;
20087;Йосиф Сліпий. Спомини;9032;1;
20086;Біблія у гравюрах Гюстава Доре;;5;
20085;Діти з Долини Райдуг (книга 7);3911;11;
20084;Любов у конвертах;9030;4;
20083;Байка про Бабайка та Ангела;9029;4;
20082;Овечка - вередуля;9027;4;
20081;Легенда про павучка;9027;4;
20080;Де живе Бог?;9026;4;
20079;Історія Візантії. Вступ до Візантистики;9025;4;
20078;Бог: да или нет?;813;3;
20077;Пробуджение к новой жизни;813;5;
20076;Уверенность в вещах невидимых;813;4;
20075;Рождены ли вы свыше? (e-book);3286;0;
20074;Толкование на Деяния святых Апостолов (e-book);2759;0;
20073;Он и она в Песне песней (e-book);2007;1;
20072;Протестантская этика и дух остмодернизма (e-book);1385;0;
20072;Протестантская этика и дух остмодернизма (e-book);4344;0;
20071;Толкование на Второе послание к Коринфянам (e-book);2759;0;
20070;Протестантская этика и дух остмодернизма;1385;18;
20070;Протестантская этика и дух остмодернизма;4344;18;
20069;Записульки;9019;21;
20068;Світ тварин;1722;28;
20068;Світ тварин;9121;28;
20067;Каїн та Авель;4091;11;
20066;Вигнання з раю;4091;12;
20065;7 днів творiння;4091;30;
20064;Драгоценности Слова Божьего;9018;5;
20063;Сила Иисуса в тебе;959;5;
20062;Сверхъестественные пути царственности;3488;5;
20061;Укрепляйтесь в Господе;959;5;
20060;Люблю тебе, тату;7363;1;
20059;Слова любови для тебе, мамо;;2;
20058;100 улюблених Біблійних історій;;5;
20057;Любитиму тебе завжди;;2;
20056;Прості секрети щасливого життя;;4;
20055;Диво Господньої благодаті;4641;2;
20054;Фабіола;7361;3;
20053;Толкование на Первое послание к Коринфянам (e-book);2759;0;
20052;Молитва жаби;4229;2;
20051;Вхід заборонено - клявзура;7360;2;
20050;Токсичні батьки;7359;2;
20049;Бог зцілює сьогодні;7358;0;
20048;"Віра і здоров""я";7357;2;
20047;Зцілитися від корупції;7356;0;
20046;Добре себетримання;7355;0;
20045;Чого прагне наше серце;2223;1;
20044;Любімо свою українську церкву;3062;5;
20043;Деяния Апостолов. Вера, изменяющая мир;;7;
20042;Библейская мудрость в детских рассказах;7354;27;
20041;Необычайное посвящение;;5;
20040;Генеральный план Евангелизма. Евангелизм как образ жизни. Учениками не рождаются, а становятся;5416;4;
20040;Генеральный план Евангелизма. Евангелизм как образ жизни. Учениками не рождаются, а становятся;7388;4;
20040;Генеральный план Евангелизма. Евангелизм как образ жизни. Учениками не рождаются, а становятся;4998;4;
20040;Генеральный план Евангелизма. Евангелизм как образ жизни. Учениками не рождаются, а становятся;7353;4;
20039;Почти христианин;6900;11;
20038;Беги к Нему;7387;3;
20037;Мэри Джонс и ее Библия;;5;
20036;Усе допомагає на добро;6334;8;
20035;Радію і освідчуюсь;5820;4;
20034;"Керівництво з любов""ю";7386;3;
20033;Два пути;6564;29;
20032;Мосты к исцелению;3492;7;
20031;Евангелие как центр;6269;3;
20030;Принцип сокровища;5581;10;
20029;Принцип чистоты;5581;14;
20028;Шпалера и лоза;3384;3;
20027;Значимость поклонения;996;11;
20026;Усыновлены, чтобы жить;5279;3;
20025;Борьба с ангелом;1762;5;
20024;Что такое Евангелие?;1760;5;
20023;Евангелие в центре твоей жизни (руководство для лидера);1003;5;
20023;Евангелие в центре твоей жизни (руководство для лидера);7385;5;
20023;Евангелие в центре твоей жизни (руководство для лидера);7364;5;
20022;Порнообращенный христианин;4130;8;
20020;Искусство быть женщиной. Часть 1;2678;8;
20019;"Евангелизационные детские клубы ""Кед и карандаш""+ DVD. Часть 3";2677;10;
20018;Письма с берега моря;1989;2;
20017;Только между нами;;2;
20016;Разгул страстей или дорога к счастью?;3907;1;
20015;Когда происходят чудеса;3907;1;
20014;Искупление;3170;2;
20013;Навсегда;3170;2;
20012;Семья;3170;2;
20011;Найденный;3170;3;
20010;Тайна Израиля;2747;10;
