IE_XML_ID;IE_NAME;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_ACTIVE;IP_PROP44;IP_PROP45;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP52;IP_PROP53;IP_PROP6;IP_PROP4;CV_PRICE_1;IP_PROP81;CP_QUANTITY;IP_PROP114;IP_PROP130;IP_PROP131;CP_WEIGHT;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_ORIG_NAME;RECOMMEND;IE_CODE;IC_CODE0;IC_CODE1;IC_CODE2;IE_DETAIL_PICTURE;IE_PREVIEW_PICTURE;CV_CURRENCY_1;IP_PROP7;
14507;Виктор Ландеро. История жизни;"Преобразование жизни одного человека преобразило жизнь целой страны.
Книга повествует историю жизни выдающегося служителя из Колумбии Виктора Ландеро, записанную его друзьями-миссионерами. Будучи владельцем деревенского увеселительного заведения, он проводил дни, предаваясь земным радостям, мало задумываясь о смысле своего существования. Однажды в его руки попадает Библия, благодаря которой он не только научится читать, но и обретет новую жизнь, посвятив ее всю до остатка своему Спасителю – Господу Иисусу Христу и проповеди Его Евангелия.";text;Y;Девид Ховард;Книгоноша;2009;60х90/16 (140х215 мм);966-7698-26-3;Мягкий;136;;0;0;28.00;0.00;14;0;2571;54;130;Книги;Публицистика;Свидетельства;;38504;viktor-landero-istoriya-zhizni-;knigi;publitsistika;svidetelstva;14507.jpg;14507.jpg;UAH;14507;
20687;Поток из-под порога Храма (e-book);В данной книге впервые предпринята попытка осмыслить и осветить с Библейской точки зрения предпосылки, сущность и последствия сложнейшего социально-политического, экономического, и духовного кризиса в Украине, который в новейшей истории уже назван Майданом.;text;Y;Валерий Решетинский;Книгоноша;2016;электронная книга;978-617-7248-30-8;;0;;0;0;16.00;0.00;100;0;9071;0;0;eBooks;Публицистика;Духовно-назидательная литература;;42246;potok-iz-pod-poroga-hrama-e-book-;ebooks;publitsistika-;duhovno-nazidatelnaya-literatura-;20687.jpg;20687.jpg;UAH;20687;
20279;Поток из-под порога Храма;В данной книге впервые предпринята попытка осмыслить и осветить с Библейской точки зрения предпосылки, сущность и последствия сложнейшего социально-политического, экономического, и духовного кризиса в Украине, который в новейшей истории уже назван Майданом.;text;Y;Валерий Решетинский;Книгоноша;2016;60х90/16 (140х215 мм);978-617-7248-30-8;Мягкий;120;;0;1;38.00;0.00;38;0;9071;22;120;Книги;Публицистика;Христианство и общество;;49438;potok-iz-pod-poroga-hrama-;knigi;publitsistika;hristianstvo-i-obshchestvo;20279.jpg;20279.jpg;UAH;20279;
16655;Тебе нравится быть моим мужем? И другие опасные вопросы;"Да! Вы можете стать женой, которая обрела больше близости, страсти и радости в своем браке. Но как этого достичь?

В книге «Тебе нравится быть моим мужем?» Линда Диллоу призывает вас задать себе «опасные» вопросы: «Тебе нравится быть моим мужем?», «Тебе нравится заниматься со мной любовью?», «Почему мне по-прежнему хочется злиться на тебя?»… Линда очень откровенно и искренне рассказывает о своих победах и поражениях, сопровождавших ее в почти полувековом супружестве. Она помогает вам следовать Божьему замыслу в отношении вашего брака.

Подсказывая, как вам составить «Формулировку целей для брака», книга «Тебе нравится быть моим мужем?» позволяет увидеть разницу между желанием иметь лучший брак и определением цели для его обретения. Вы словно смотрите в зеркало, чтобы увидеть, в чем можете измениться сами. По сути, эта книга не о браке, как таковом, а о жизни в нем, когда вы изо дня в день, из года в год приближаетесь к образу идеальной жены, наблюдая за тем, как это влияет на ваши взаимоотношения с мужем.

Книга включает в себя план размышлений и исследования Библии, рассчитанный на десять или двенадцать недель.

<iframe src=""//player.vimeo.com/video/32968988"" width=""500"" height=""281"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe> <p><a href=""http://vimeo.com/32968988"">Тебе нравится быть моим мужем?</a> from <a href=""http://vimeo.com/knigonosha"">Christian Literature portal</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>";text;Y;Линда Диллоу;Книгоноша;2011;60х90/16 (140х215 мм);978-966-2615-04-3;Мягкий;248;;0;0;82.00;0.00;17;0;3768;221;220;Книги;Брак и семья;Жизнь в браке;What’s Like To Be Married To Me?;38325;tebe-nravitsya-bit-moim-muzhem-i-drugie-opasnie-voprosi-;knigi;brak-i-semya;zhizn-v-brake;16655.jpg;16655.jpg;UAH;16655;
14997;Живите в простоте. Духовная практика для людей, страдающих от чрезмерных нагрузок;"Давайте честно признаемся: мы живем в сложном мире. Технологии совершенствуются ежедневно, а с ними ускоряется и ритм жизни. Неудивительно, что, подгоняемая со всех сторон разными неотложными делами, наша духовная жизнь не выдерживает и падает, как загнанная лошадь. Но если груз мирских забот препятствует вашей жизни во Христе, то, может быть, пора остановиться и все переосмыслить. Жизнь на земле была менее напряженной во времена Иисуса. Ему приходилось преодолевать невероятные трудности и переносить мучительные испытания, но в Его отношениях с Отцом была всегда та простота, которой нам следует подражать. Если чтение Библии кажется вам нудным занятием, а ваша молитвенная жизнь — утомительной, остановитесь! Сделайте глубокий вдох, возьмите в руки эту книгу, и ее автор, Дональд Уитни, покажет вам, какой плодотворной может быть простая христианская жизнь. 
Содержание 
Предисловие 
Благодарность 
Введение 
В простоте: первые принципы 
Простота и истина 
Простота и молитва 
Простота и ваш дневник 
Простота и ваши разум 
Простота и ваше сердце 
Простота и ваше время 
Простота и другие области жизни 
Руководство к служению 
Биография";text;Y;Дональд Уитни;Книгоноша;2009;60х90/16 (140х215 мм);978-966-7698-40-9;Мягкий;152;;1;0;35.00;0.00;21;0;2486;66;160;Книги;Публицистика;Духовно-назидательная литература;;37224;zhivite-v-prostote-duhovnaya-praktika-dlya-lyudey-stradayushchih-ot-chrezmernih-nagruzok-;knigi;publitsistika;duhovno-nazidatelnaya-literatura;14997.jpg;14997.jpg;UAH;14997;
7828;Духовное возрастание в христианской жизни;"Автор рассуждает о том, что такое благочестие и как на практике достигать благочестивой жизни, исполненной Духа Святого. 

Вы узнаете о таких факторах, способствующих духовному росту и являющихся неотъемлемой частью практического христианства, как насыщение Словом Божьим, молитва, пост, поклонение, служение. 

Книга окажет помощь на пути духовного возрастания всем, кто к этому стремится.";text;Y;Дональд Уитни;Книгоноша;2012;60х90/16 (140х215 мм);978-966-2615-11-1;Мягкий;296;;0;0;60.00;0.00;20;0;2486;378;260;Книги;Публицистика;Духовно-назидательная литература;;37222;duhovnoe-vozrastanie-v-hristianskoy-zhizni-;knigi;publitsistika;duhovno-nazidatelnaya-literatura;7828.jpg;7828.jpg;UAH;7828;
16654;Скиния в пустыне и Евангелие от книги Левит;Эта книга освещает вопрос места обитания Господа в пустыне и среди Его грешного народа, вместе с сопровождающими лекциями в отношении Его божественно определенного подхода, предложенного для их постоянного доступа к общению с Ним.;text;Y;Маркус Рейнсфорд;Христианское просвещение;2011;60х84/16 (140х200 мм);5-8404-0197-Х;Твердый;224;;0;0;49.00;54.00;0;0;4146;18;310;Книги;Библеистика;Изучение Библии;The Tabernacle in the Wilderness;42596;skiniya-v-pustine-i-evangelie-ot-knigi-levit-;knigi;bibleistika;izuchenie-biblii;16654.jpg;16654.jpg;UAH;16654;
17207;Сердце мусульманина;"Что должен знать каждый христианин, открывая Христа мусульманам?

Мусульмане – не враги. Они – обычные люди. Люди, которые нуждаются во Христе. Но их взгляд на мир во многом отличается от взгляда западных и восточных христиан.

«Сердце мусульманина» знакомит христиан с историей возникновения наиболее значимых для мусульман жизненных правил, знание и соблюдение которых поможет вам в общении с друзьями, соседями и коллегами, исповедующими ислам. Без понимания культурных особенностей и причин, почему мусульмане думают и чувствуют так, а не иначе, любые попытки говорить с ними о Христе будут направлены на разум, но не затронут их сердце. Эта книга написана специально для христиан, служащих мусульманам как у себя дома, так и в других странах, и дает проверенные в реальной жизни практические советы, которые помогут им в таких аспектах: 

- евангелизация с точки зрения традиций Востока;
- опровержение устойчивого стереотипа «мы против них» с помощью определения сходства нашей веры;
- развитие подлинной дружбы между мусульманами и христианами;
- раскрытие библейских истин с использованием методов, приемлемых в мусульманской культуре;
- использование Корана и важных для мусульман традиций в качестве «моста» к Благой Вести;
- духовная борьба, взаимоотношения между полами, безопасность и политика.";text;Y;Эдвард Хоскинс;Книгоноша;2012;60х90/16 (140х215 мм);978-966-2615-09-8;Мягкий;80;;0;0;35.00;0.00;17;0;7082;122;160;Книги;Служения Церкви;Миссионерство;;37234;serdtse-musulmanina-;knigi;sluzheniya-tserkvi;missionerstvo;17207.jpg;17207.jpg;UAH;17207;
14810;Секреты лидерства Святого Павла;"В чем заключается секрет человека, чье однажды начатое дело изменило мировую историю? Относитесь ли вы к новому типу лидеров, которые не просто довольствуются достигнутым, но стремятся делать что–то новое и нечто большее, посвящая себя тому, чтобы видение превратилось в реальность? 
Возможно, вы хотите начать новое предприятие, но не уверены, на правильном ли вы пути? Или вы уже несколько лет трудитесь над чем-то, что сегодня нуждаетесь в новом видении? В каком бы положении Вы как лидер не находились, необходимость черпать силы из источников, содержащих мудрые советы и слова ободрения, всегда будет возникать в вашей жизни. Уникальным примером такого источника служит Библия, не страницах которой описана история лидера, осуществившего свои мечты и оставившего после себя неизгладимый след в истории человечества. 
Почти две тысячи лет назад человек из Тарса (прибрежного городка в Малой Азии) помог создать организацию, которая изменила ход мировой истории. Во времена, когда не было ни факсов, ни сотовых телефонов, ни Интернета, ни массовых печатных технологий он сумел оказать огромное влияние на незаинтересованный рынок, сделав тысячи и тысячи людей горячими поклонниками проповедуемой им Истины. 
Павел полностью посвятил себя выполнению этой миссии и пользовался любой возможностью, чтобы делиться своим видением, формируя лидеров и стойко перенося неудачи даже тогда, когда большинство уже опускало руки. Спустя несколько поколений, этот лидер с группой своих последователей изменили мир. 
Вступительное слово Джона Ортберга. 
 
Содержание: 
 
Предисловие 
Вступление 
Глава 1 - Желайте большего 
Глава 2 - Когда вас выбивает из седла 
Глава 3 - Знай свое призвание 
Глава 4 - Возрастание в пустыне 
Глава 5 - Ищите наставников 
Глава 6 - будьте посланниками 
Глава 7 - Восполняйте реальные нужды 
Глава 8 - Не будьте тем, кем вы не являетесь 
Глава 9 - Начните 
Глава 10 - Будьте одним из ""тех людей"" 
Глава 11 - Позвольте сделанному вам и возрастать 
Глава 12 - Следуйте своим стремлениями 
Глава 13 - Будьте подотчетны 
Глава 14 - 
Научитесь довольствоваться тем, что есть 
Глава 15 - Возрастайте 
Глава 16 - Перестаньте всем распоряжаться 
Глава 17 - Позвольте себе отдохнуть 
Глава 18 - Прощайте обиды 
Глава 19 - Ищите возможности 
Глава 20 - Помогайте людям увидеть цель 
Глава 21 - Обращайтесь за помощью 
Глава 22 - Делитесь видением 
Глава 23 - Сейте щедро 
Глава 24 - Находите хорошее в благоприятных обстоятельствах 
Глава 25 - Определите свое предназначение 
Глава 26 - Оставьте позади отрицательные советы 
Глава 27 - Помогайте возрастать 
Глава 28 - Определите, что является важным 
Глава 29 - Сотрудничайте с другими 
Глава 30 - Делайте все необходимое 
Глава 31 - Служите 
Глава 32 - Сотрудничайте с представителями противоположного пола 
Глава 33 - Отпускайте людей 
Глава 34 - Призывайте людей 
Глава 35 - Верьте в судьбу 
Глава 36 - Упрощайте 
Глава 37 - Верьте в изобилие 
Глава 38 - Стремитесь к награде 
Примечания 
Об авторе";text;Y;Джефф Калигур;Книгоноша;2009;60х90/16 (140х215 мм);978-966-7698-36-2;Мягкий;156;;0;0;38.00;0.00;12;0;2140;102;160;Книги;Лидерство;Менеджмент;;38502;sekreti-liderstva-svyatogo-pavla-;knigi;liderstvo;menedzhment;14810.jpg;14810.jpg;UAH;14810;
15412;Обольщение Евы Фольк;"Роман о христианах в гитлеровской Германии.

Во время Второй мировой войны американские солдаты были потрясены тем, что у тысяч немецких военнопленных они находили Новые Заветы. Гитлеру служили христиане?! В книге «Обольщение Евы Фольк» впервые исследуется реальность этого парадокса с точки зрения немцев, чего не было ни в одном другом романе, повествующем о Церкви в гитлеровской Германии.

В глазах юной Евы вся неотразимая притягательность нацизма олицетворена в ее возлюбленном. Отчаянные поиски внутренней целостности в окружающем ее разрушенном мире, быстро увлекают страстями любви и войны, пока девушка не сталкивается лицом к лицу с последствиями духовного ослепления. История Евы Фольк, полная драматизма и глубоких переживаний, — предупреждение для каждого из нас об обреченности жизни вне Божьей Истины.

<iframe src=""//player.vimeo.com/video/22429688"" width=""500"" height=""400"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe> <p><a href=""http://vimeo.com/22429688"">""Обольщение Евы Фольк"", Дэвид Бейкер, из-во КНИГОНОША, Киев, 2010</a> from <a href=""http://vimeo.com/knigonosha"">Christian Literature portal</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>";text;Y;Дэвид Бейкер;Книгоноша;2010;60х90/16 (140х215 мм);978-966-7698-51-5;Мягкий;400;;0;0;80.00;0.00;15;0;2542;154;360;Книги;Художественная литература;Романы;;20209;obolshchenie-evi-folk-;knigi;hudozhestvennaya-literatura;romani;15412.jpg;15412.jpg;UAH;15412;
9086;Вы можете быть женой счастливого мужа. В поисках ключа к счастливому браку;"Ваш медовый месяц не должен заканчиваться!
Дериен Купер твердо уверена, что в соответствии с Божьим замыслом счастье в браке должно продолжаться ""пока смерть не разлучит нас"". Она открыла библейские принципы построения продолжительного и счастливого брака и делится этими принципы в этой книге. Бесчисленное множество браков стали крепкими после того, как жены научились применять библейские истины, которые миссис Купер преподавала на своих лекциях в течение нескольких лет.

Общеизвестно, что процент разводов, даже среди христиан, быстро увеличивается. По мнению автора, одна из причин заключается в том, что каждый день множество женщин в подвенечных платьях произносят у алтаря ""я согласна"" и вступают в должность, влекущую за собой огромную ответственность, без надлежащего обучения. Курс лекций ""Вы можете быть женой счастливого мужа"" помог тысячам женщин четко понять их ""должность"" и улучшить супружескую жизнь.";text;Y;Дериен Купер;Книгоноша;2005;60х90/16 (140х215 мм);5-94172-032-7;Мягкий;208;;0;0;54.00;0.00;29;0;2009;496;210;Книги;Брак и семья;Книги для женщин;;37221;vi-mozhete-bit-zhenoy-schastlivogo-muzha-v-poiskah-klyucha-k-schastlivomu-braku-;knigi;brak-i-semya;knigi-dlya-zhenshchin;9086.jpg;9086.jpg;UAH;9086;
20685;День пути. 365-дневное размышление над Словом (e-book);"Куда бы ни повела лежащая перед вами тропа - ""около стана"" или в уединенную пустыню, проповедовать непокорному городу Ниневии или в святой город Иерусалим, с целью увидеть Иисуса и принять от Него силу свыше, мы молимся, чтобы эти размышления над Словом были для вас поддержкой"" светом на день пути, предстоящего вам.
Книга содержит 365 небольших проповедей по Новому Завету и рассчитана на прочтение за один год.";text;Y;Джон Корсон;Книгоноша;2016;электронная книга;978-617-7248-24-7;Твердый;0;;0;0;34.00;0.00;100;0;9066;0;0;eBooks;Художественная литература;Чтение на каждый день;;39484;den-puti-365-dnevnoe-razmishlenie-nad-slovom-e-book-;ebooks;hudozhestvennaya-literatura-;chtenie-na-kazhdiy-den-;20685.jpg;20685.jpg;UAH;20685;
17429;Сочинение;Через всю жизнь проносит молодая учительница Виктория Борисовна свою единственную любовь к Тимофею, которого полюбила еще в юности. Тогда им пришлось расстаться, но прошло время и Бог вновь соединяет две одинокие судьбы. Испытанная временем и тяжелыми испытаниями, их любовь, расцветает опять, но уже совсем другими красками.;text;Y;Тамара Резникова;Книгоноша;2013;84x108/32 (125х190 мм);978-966-2615-28-9;Твердый;256;;1;0;124.00;0.00;26;0;6169;142;310;Книги;Художественная литература;Повести;;38309;sochinenie-;knigi;hudozhestvennaya-literatura;povesti;17429.jpg;17429.jpg;UAH;17429;
17430;Абрикосовое дерево;"""Абрикосовое дерево"" - яркое повествование о любви и ненависти, предательстве и лжи, милости и сострадании, как и все произведения Тамары Резниковой, написано на основе реальных событий. Героиня повести Марина - молодая женщина, пережившая смерть близких, предательство и ложь любимого человека, в свои 25 лет уже опустошена и разочарована жизнью. С абрикосовым деревом, ветви которого касаются окна ее комнаты в родительском доме, Марину связывают много трепетных и дорогих воспоминаний юности.
Однажды, ранним майским утром, под ветвями абрикосового дерева Бог коснулся сердца Марины. В молитве она обратилась к Нему, прося прощения и помощи, и с этого дня в ее жизни начались стремительные перемены.";text;Y;Тамара Резникова;Книгоноша;2012;84x108/32 (125х190 мм);978-966-2615-16-6;Твердый;280;;0;0;174.00;0.00;8;0;6169;264;310;Книги;Художественная литература;Повести;;37461;abrikosovoe-derevo-;knigi;hudozhestvennaya-literatura;povesti;17430.jpg;17430.jpg;UAH;17430;
17428;Предназначена жить;"Врачи приговорили ее к смерти, но мать не верила. Она надеялась и молилась, сутками не отходя от кровати шестилетней дочери Лили. Медики называли женщину ""ненормальной мамашей"", но на помощь пришёл Тот, Кто никогда не опаздывает... 
Прошли годы. И с обложки этой книги на вас смотрит сегодняшняя Лиля, здоровая и счастливая.

В книгу вошло 5 документальных повестей:
- Предисловие к покаянию;
- Её Вифезда;
- Отец мой Небесный;
- Сестра милосердия;
- Предназначена жить.";text;Y;Тамара Резникова;Книгоноша;2012;84x108/32 (125х190 мм);978-966-2615-26-5;Твердый;248;;0;0;124.00;0.00;11;0;6169;160;310;Книги;Художественная литература;Повести;;38310;prednaznachena-zhit-;knigi;hudozhestvennaya-literatura;povesti;17428.jpg;17428.jpg;UAH;17428;
14642;Очередь в небо;"Издание 2-е, исправленное и дополненное.

В книгу Тамары Резниковой вошли рассказы и повести, повествующие об удивительных судьбах разных людей – наших современников. Все они пережили радости и печали, победы и поражения, взлеты и падения, проходя путь, которым, возможно, идете сейчас и вы, дорогой читатель.
Автор надеется, что эти истории поддержат, ободрят и заставят задуматься о взаимоотношениях с Великим Богом, Который , как никто другой, знает наши сердца и мысли, знает, как помочь каждому из нас.

Содержание:

Примерка
Не теряя надежды
Покаяние ""праведницы""
Бутоны чистой любви
Откровение для майора
Очередь в небо
Закон для вора в законе
Освобождение";text;Y;Тамара Резникова;Книгоноша;2013;84x108/32 (125х190 мм);978-966-2615-27-2;Твердый;320;;0;0;137.00;0.00;14;0;6169;118;360;Книги;Художественная литература;Повести;;38321;ochered-v-nebo-;knigi;hudozhestvennaya-literatura;povesti;14642.jpg;14642.jpg;UAH;14642;
